GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-management-service,com.spring.librarymanagementservice.model,Librarian.LibrarianBuilder,12,42,0,0,0,1,1,7,1,7
library-management-service,com.spring.librarymanagementservice.model,Librarian,198,46,42,0,2,7,29,9,8,9
library-management-service,com.spring.librarymanagementservice.service,LibrarianService,43,148,1,3,19,51,1,7,0,6
library-management-service,com.spring.librarymanagementservice,LibraryManagementServiceApplication,5,3,0,0,2,1,1,1,1,1
library-management-service,com.spring.librarymanagementservice.domain,LibrarianDataRequest,164,50,38,0,0,8,23,11,4,11
library-management-service,com.spring.librarymanagementservice.domain,ResponseStatus,115,13,22,0,4,2,20,2,9,2
library-management-service,com.spring.librarymanagementservice.domain,ResponseStatus.ResponseStatusBuilder,6,21,0,0,0,1,1,4,1,4
library-management-service,com.spring.librarymanagementservice.domain,LibrarianDataResponse.LibrarianDataResponseBuilder,10,35,0,0,0,1,1,6,1,6
library-management-service,com.spring.librarymanagementservice.domain,LibrarianDataResponse,170,44,38,0,0,8,26,8,7,8
library-management-service,com.spring.librarymanagementservice.domain,LibrarianDataRequest.LibrarianDataRequestBuilder,10,35,0,0,0,1,1,6,1,6
library-management-service,com.spring.librarymanagementservice.webcontroller,LibraryWebController,9,26,1,1,2,6,2,5,1,5
library-management-service,com.spring.librarymanagementservice.config,InitConfig,0,11,0,0,0,3,0,3,0,3
